GDP,Education Expenditure,Unemployment Rate,Employee Compensation
2109090,85801,7.9,1120347
2172540,90097,8,1138370
2198120,91509,8.8,1145070
2211570,92245,9.9,1148715
2262520,92778,10.9,1152296
2288310,93988,11.2,1150761
2385080,96006,10.3,1170728
2499550,98044,8.7,1204279
2546490,100453,7.5,1250708
2445730,106146,7.8,1256914
2564400,112330,7,1293606
2693560,115689,5.8,1349842
2745310,117102,5.4,1403513
2811350,122448,5.2,1444171
2927430,126197,5,1501769
3026180,126900,4.6,1561976
3134740,129949,4.1,1622728
3259860,133370,3.8,1693196
3356410,139393,3.4,1770856
